lexeme_id	lemma	ipa	pos	features	etymology	sense_id	definition	usage	notes
L-0001	pa	pa	v	{"class":"semantic-primal","root":"p","schema":"EMIT/EXPEL"}	Inherited semantic-primal root *p.	L-0001-S01	emit; expel	Concrete prototype: blow/breathe.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
L-0002	ha	ha	v	{"class":"semantic-primal","root":"h","schema":"EXPRESS/COMMUNICATE"}	Inherited semantic-primal root *h.	L-0002-S01	express; communicate	Concrete prototype: say/utter.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
L-0003	ta	ta	v	{"class":"semantic-primal","root":"t","schema":"CONTACT"}	Inherited semantic-primal root *t.	L-0003-S01	make or sustain contact	Concrete prototype: touch.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
L-0004	da	da	v	{"class":"semantic-primal","root":"d","schema":"REMAIN/BE SITUATED"}	Inherited semantic-primal root *d.	L-0004-S01	remain; be situated	Concrete prototype: rest/stay.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
L-0005	ka	ka	v	{"class":"semantic-primal","root":"k","schema":"SEPARATE/DISRUPT INTEGRITY"}	Inherited semantic-primal root *k.	L-0005-S01	separate; disrupt integrity	Concrete prototype: cut/break.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
L-0006	ga	ga	v	{"class":"semantic-primal","root":"g","schema":"RETAIN/ENCLOSE"}	Inherited semantic-primal root *g.	L-0006-S01	retain; enclose	Concrete prototype: hold/contain.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
L-0007	sa	sa	v	{"class":"semantic-primal","root":"s","schema":"CONTINUE ALONG/EXTEND"}	Inherited semantic-primal root *s.	L-0007-S01	continue along; extend	Concrete prototype: trace/flow.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
L-0008	ma	ma	v	{"class":"semantic-primal","root":"m","schema":"CONVERGE/AGGREGATE"}	Inherited semantic-primal root *m.	L-0008-S01	converge; aggregate	Concrete prototype: gather/collect.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
L-0009	na	na	v	{"class":"semantic-primal","root":"n","schema":"TRANSFER"}	Inherited semantic-primal root *n.	L-0009-S01	transfer	Concrete prototype: give/pass.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
L-0010	ra	ra	v	{"class":"semantic-primal","root":"r","schema":"MOTION/REORIENTATION"}	Inherited semantic-primal root *r.	L-0010-S01	move; reorient	Concrete prototype: move/turn.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
L-0011	ya	ja	v	{"class":"semantic-primal","root":"j","schema":"PERCEIVE/COGNIZE"}	Inherited semantic-primal root *j.	L-0011-S01	perceive; cognize	Concrete prototype: sense/know.	Predictable relational, directional, and applicative readings are compositional rather than separate lexical senses.
